"Model","PageNum","CityMPG","HwyMPG","FuelCap","Weight","FrontWt","Accel0_30","Accel0_60","QtrMile","Type"
"Buick Century        ",74,20,29,17.5,3350,64,3.3,9.4,17.2,"Family"
"Buick Regal          ",77,19,30,17.5,3325,63,3.3,9.2,17,"Family"
"Chevrolet Impala     ",88,20,29,17,3465,64,NA,NA,NA,"Family"
"Chevrolet Lumina     ",89,20,29,16.6,3350,64,3.4,9.8,17.4,"Family"
"Chevrolet Malibu     ",90,22,30,15,3040,64,3.3,9.4,17.2,"Family"
"Chrysler Cirrus      ",101,19,27,16,3170,64,3.5,10,17.6,"Family"
"Daewoo Langanza      ",108,20,28,15.8,3185,60,4,11,18.3,"Family"
"Dodge Status         ",118,19,27,16,3170,64,3.5,10,17.6,"Family"
"Ford Contour         ",119,23,31,15,2885,61,4.3,11.8,18.8,"Family"
"Ford Taurus          ",127,18,26,16,3515,64,3.5,9.4,17.2,"Family"
"Honda Accord         ",135,23,30,17.1,3105,61,3.8,10.5,18,"Family"
"Hyundai Sonata       ",143,20,28,17.2,3195,62,NA,NA,NA,"Family"
"Infiniti G20         ",145,22,28,15.9,3005,62,4.5,11.3,18.6,"Family"
"Mazda 626            ",174,22,29,16.9,2910,62,4.2,12.5,19.1,"Family"
"Mercury Mystique     ",188,21,30,14.5,3115,65,3.8,9.8,17.5,"Family"
"Mercury Sable        ",189,20,28,16.1,3345,65,3.9,11.4,18.5,"Family"
"Mitsubishi Galant    ",193,21,28,16.3,3110,61,4.2,12.4,19.1,"Family"
"Nissan Altima        ",197,22,30,15.9,3020,63,3.9,10.6,18,"Family"
"Nissan Maxima        ",199,21,28,18.5,3130,63,3.4,8.9,16.9,"Family"
"Oldsmobile Elero     ",204,21,29,15,3100,64,3.6,10.1,17.6,"Family"
"Oldsmobile Intrigue  ",207,19,30,18,3470,64,3.2,9.1,16.9,"Family"
"Plymouth Breeze      ",209,22,31,16,3050,63,3.9,11.7,18.7,"Family"
"Pontiac Grand Am     ",215,21,29,15,3095,64,3.6,10.2,17.7,"Family"
"Pontiac Grand Prix   ",216,19,30,18,3400,65,3.2,8.9,16.8,"Family"
"Saturn L-Series      ",223,20,26,NA,2910,NA,NA,NA,NA,"Family"
"Subaru Legacy        ",227,23,30,15.9,2980,56,3.5,10.3,17.9,"Family"
"Toyota Camry         ",233,23,30,18,3135,62,3.9,11.4,18.5,"Family"
"Volkswagon Passat    ",246,21,31,18.5,3175,61,3.8,10.3,17.9,"Family"
"Acura Integra        ",61,25,32,13.2,2635,62,3.4,9.3,17.1,"Small"
"Chevrolet Cavalier   ",86,23,31,15.2,2795,65,3.8,11.1,18.3,"Small"
"Chevrolet Metro      ",91,30,34,10.3,2065,61,NA,NA,NA,"Small"
"Chevrolet Prism      ",93,28,36,13.2,2480,61,3.8,10.7,18,"Small"
"Daewoo Lanos         ",107,23,33,12.7,2610,64,NA,NA,NA,"Small"
"Deawoo Nubira        ",109,22,30,13.7,2815,62,3.8,10.9,18.2,"Small"
"Dodge Neon           ",116,25,32,12.5,2565,61,NA,NA,NA,"Small"
"Ford Escort          ",121,25,34,12.7,2585,64,3.8,11.2,18.4,"Small"
"Honda Civic          ",136,28,35,11.9,2440,62,3.9,11.1,18.5,"Small"
"Hyundai Accent       ",141,26,36,11.9,2290,63,NA,NA,NA,"Small"
